,State.Name,Employment.Type,Position.Name_1,Position.Of.Interest_1
548,25.0,2.0,157.0,77.0
549,25.0,2.0,403.0,77.0
550,19.0,4.0,406.0,22.0
551,5.0,4.0,35.0,22.0
552,5.0,4.0,49.0,22.0
553,19.0,4.0,406.0,95.0
554,5.0,4.0,35.0,95.0
555,5.0,4.0,49.0,95.0
556,19.0,4.0,406.0,102.0
557,5.0,4.0,35.0,102.0
558,5.0,4.0,49.0,102.0
559,19.0,4.0,406.0,22.0
560,5.0,4.0,35.0,22.0
561,5.0,4.0,49.0,22.0
562,19.0,4.0,406.0,95.0
563,5.0,4.0,35.0,95.0
564,5.0,4.0,49.0,95.0
565,19.0,4.0,406.0,102.0
566,5.0,4.0,35.0,102.0
567,5.0,4.0,49.0,102.0
568,26.0,5.0,87.0,61.0
569,26.0,5.0,169.0,61.0
570,26.0,5.0,87.0,22.0
571,26.0,5.0,169.0,22.0
572,26.0,5.0,87.0,52.0
573,26.0,5.0,169.0,52.0
574,26.0,5.0,87.0,50.0
575,26.0,5.0,169.0,50.0
576,26.0,5.0,87.0,61.0
577,26.0,5.0,169.0,61.0
578,26.0,5.0,87.0,22.0
579,26.0,5.0,169.0,22.0
580,26.0,5.0,87.0,52.0
581,26.0,5.0,169.0,52.0
582,26.0,5.0,87.0,50.0
583,26.0,5.0,169.0,50.0
584,26.0,5.0,87.0,61.0
585,26.0,5.0,169.0,61.0
586,26.0,5.0,87.0,22.0
587,26.0,5.0,169.0,22.0
588,26.0,5.0,87.0,52.0
589,26.0,5.0,169.0,52.0
590,26.0,5.0,87.0,50.0
591,26.0,5.0,169.0,50.0
592,22.0,5.0,415.0,61.0
593,22.0,5.0,394.0,61.0
594,22.0,5.0,393.0,61.0
595,22.0,5.0,416.0,61.0
596,22.0,5.0,393.0,61.0
597,22.0,5.0,415.0,22.0
598,22.0,5.0,394.0,22.0
599,22.0,5.0,393.0,22.0
600,22.0,5.0,416.0,22.0
601,22.0,5.0,393.0,22.0
602,3.0,4.0,361.0,71.0
603,3.0,4.0,309.0,71.0
604,3.0,4.0,305.0,71.0
605,3.0,4.0,361.0,40.0
606,3.0,4.0,309.0,40.0
607,3.0,4.0,305.0,40.0
608,3.0,4.0,361.0,61.0
609,3.0,4.0,309.0,61.0
610,3.0,4.0,305.0,61.0
611,3.0,4.0,361.0,13.0
612,3.0,4.0,309.0,13.0
613,3.0,4.0,305.0,13.0
614,3.0,4.0,361.0,22.0
615,3.0,4.0,309.0,22.0
616,3.0,4.0,305.0,22.0
617,3.0,4.0,361.0,62.0
618,3.0,4.0,309.0,62.0
619,3.0,4.0,305.0,62.0
620,3.0,4.0,361.0,71.0
621,3.0,4.0,309.0,71.0
622,3.0,4.0,305.0,71.0
623,3.0,4.0,361.0,40.0
624,3.0,4.0,309.0,40.0
625,3.0,4.0,305.0,40.0
626,3.0,4.0,361.0,61.0
627,3.0,4.0,309.0,61.0
628,3.0,4.0,305.0,61.0
629,3.0,4.0,361.0,13.0
630,3.0,4.0,309.0,13.0
631,3.0,4.0,305.0,13.0
632,3.0,4.0,361.0,22.0
633,3.0,4.0,309.0,22.0
634,3.0,4.0,305.0,22.0
635,3.0,4.0,361.0,62.0
636,3.0,4.0,309.0,62.0
637,3.0,4.0,305.0,62.0
